Estado,Localidad,Clave,Lon,Lat,2018,2019,2020,Tmax,Tmin,Tmed
AGS,"Aguascalientes, Ags.",AGSAG,-102.31,21.9,112.5,44.19,31.1,23.46774194,6.403225806,14.93548387
AGS,"Calvillo, Ags. SMN*",CALVILLO,-102.71,21.85,201.5,101.27,39.4,26.52258065,3.874193548,15.198387099999998
AGS,"Cosío, Ags.",CSOAG,-102.3,22.36,208.04,17.28,39.5,18.08064516,0.790322581,9.435483871
AGS,"Derivadora Pabellón, Ags.",PTRAG,-102.44,22.24,279.83,46.85,31.8,22.08064516,5.064516128999999,13.57258065
AGS,"El Niagara, Ags.",NGRAG,-102.37,21.78,260.01,19.96,29.4,24.30645161,3.741935484,14.02419355
AGS,"Jocoque, Ags.",JCQAG,-102.36,22.12,199.41,24.32,46.0,23.12903226,4.4193548389999995,13.77419355
AGS,"La Codorniz, Ags.",CDRAG,-102.68,22.0,250.0,35.0,52.0,24.51612903,7.112903226,15.81451613
AGS,"Los Conos, Ags.",CNSAG,-102.0,21.9,289.11,46.72,17.2,23.41935484,3.7903225810000003,13.60483871
AGS,"Media Luna, Ags.",MNLAG,-102.79,21.81,208.51,96.42,53.7,25.51612903,3.483870968,14.5
AGS,"Observatorio de Aguascalientes, Ags.",OBSAG,-102.29,21.85,263.9,39.64,31.5,24.07741935,5.716129032,14.89677419
AGS,"Pabellón, Ags.",PBLAG,-102.29,22.16,184.1,24.73,44.0,22.48387097,3.983870968,13.23387097
AGS,"Plutarco Elías Calles, Ags.",PECAG,-102.42,22.14,225.5,48.03,37.5,23.01612903,5.564516128999999,14.29032258
BC,"Cataviña, B.C. SMN*",CATAVINA,-114.72,29.73,0.0,0.0,4.5,19.32333333,8.65,13.98666667
CAMP,"Bolonchen, Camp.",BOLCA,-89.74,20.0,159.0,264.0,11.0,29.34482759,17.53448276,23.43965517
CAMP,"Campeche, Camp.",CMPCA,-90.54,19.84,246.0,309.5,18.0,28.07142857,17.46428571,22.76785714
