LON,LAT,ESTADO,CLAVE_SIH,NOMBRE,ENE
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",25.8
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",58.6
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",56
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",50
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",17.2
-102.189167,21.826667,AGS,CLVAG,"Calvillito, Ags.",13.5
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",51.5
-102.296667,22.362778,AGS,CSOAG,"Cosio, Ags.",35.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",48.9
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",25.4
-102.290556,21.850833,AGS,OBSAG,"Observatorio, Ags.",20.9
-102.465,22.189167,AGS,P50ANIV,"Presa 50 Aniversario, Ags. SMN*",57.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",19
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",22
-102.417222,22.141111,AGS,PECAG,"Calles, Ags.",50
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",26.7
-102.4375,22.235,AGS,PTRAG,"Potrerillos, Ags.",52.8
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",8
-102.127778,21.807778,AGS,TNJAG,"La Tinaja II, Ags.",10
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",16.9
-114.730278,32.704722,BC,ALGODONESob,OBSERVATORIO DE ALGODONES SMN,1.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",53.6
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.5
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",47.6
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",44.6
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",24
-115.931389,30.517222,BC,ENBBN,SAN QUINTIN (EJIDO NUEVO),7.6
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",35.9
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,MEXICALI,0
-114.729444,32.703889,BC,PDMBN,"Derivadora MOR, B.C.",1.5
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",38.6
-114.834444,31.028056,BC,SFELIPEob,OBSERVATORIO DE SAN FELIPE SMN,0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Cd. ConstituciÛn, B.C.S.",0.6
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",1
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",2
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0.9
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0
