LON,LAT,EDO,CLAVE,ESTACION,ene-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",31.1
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0.0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",39.4
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",52.0
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",28.5
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",17.2
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",39.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",46.0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",53.7
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",29.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",30.0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",31.5
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",52.0
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",44.0
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",37.5
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",85.5
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",31.8
-102.314722,21.755,AGS,SANTAANITA,"Santa Anita, Ags. INIFAP*",29.2
-102.294444,22.054167,AGS,SANTALUCIA,"Santa LucÌa, Ags. INIFAP*",39.2
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",21.0
-102.436944,22.233056,AGS,TDEPOTRERILLOS,"T˙nel de Potrerillos, Ags. INIFAP*",30.8
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",22.0
-102.362222,21.972222,AGS,UAALAPOSTA,"Univ. AutÛnoma de Aguascalientes La Posta, Ags. SGT*",3.0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",76.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",7.4
-113.560278,28.896389,BC,BAABN,"BahÌa de los ¡ngeles, B.C. SMN*",0.8
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",4.5
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",6.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",5.1
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0.0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",8.7
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",12.2
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0.5
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0.8
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de EnvoleÛn, B.C. SMN*",0.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",4.2
-115.209722,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",2.8
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.6
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",6.6
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0.6
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",15.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",12.6
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",5.2
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",6.2
-111.353889,26.009722,BCS,BLORETO,"BahÌa de Loreto, B.C.S. SMN*",0.0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",2.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.0
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",2.2
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",2.2
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.1
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",7.1
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",0.2
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10.0
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0.0
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0.1
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0.7
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",0.0
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",1.0
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",2.3
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",12.8
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.4
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",0.0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",3.0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0.0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",2.6
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",4.6
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0.1
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0.0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",11.0
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",0.0
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",5.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",29.4
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",34.2
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",24.2
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",23.0
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",18.0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",22.1
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",9.4
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",12.0
-90.758333,18.607778,CAMP,ESCARCEGA,"Esc·rcega, Camp. SMN*",6.0
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",35.9
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",30.0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",10.4
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",31.2
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",14.2
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",15.0
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",42.5
