Estado,Localidad,Lon,Lat,Clave,2020,2018,Edo,2019
AGS,"Aguascalientes, Ags.",-102.309722,21.895,AGSAG,25.8,25.8,AGS,148.5
AGS,"Calvillo, Ags. SMN*",-102.712222,21.849167,CALVILLO,56.0,56.0,AGS,18.3
AGS,"El Niagara, Ags.",-102.371667,21.78,NGRAG,25.4,25.4,AGS,173.3
AGS,"La Codorniz, Ags.",-102.67694399999999,21.9975,CDRAG,50.0,50.0,AGS,139.0
AGS,"Los Conos, Ags.",-102.0,21.896389000000003,CNSAG,51.5,51.5,AGS,100.4
AGS,"Media Luna, Ags.",-102.788333,21.8075,MNLAG,48.9,48.9,AGS,131.4
AGS,"Pabellón, Ags.",-102.291944,22.1625,PBLAG,22.0,22.0,AGS,57.8
AGS,"Puerto de la Concepción, Ags.",-102.133333,22.202778,PTOAG,26.7,26.7,AGS,32.0
BC,"Abelardo L. Rodríguez, B.C.",-116.90833300000001,32.444722,ALRBN,53.6,53.6,BC,0.0
BC,"Cataviña, B.C. SMN*",-114.719167,29.727221999999998,CATAVINA,0.5,0.5,BC,0.8
BC,"Ejido Nuevo León, B.C.",-115.15,32.411111,ENLBN,0.0,0.0,BC,0.0
BC,"El Carrizo, B.C.",-116.69694399999999,32.479444,CRRBN,47.6,47.6,BC,1.4
BC,"El Florido, B.C.",-116.828333,32.468056,EFLBN,44.6,44.6,BC,0.0
BC,"El Hongo, B.C.",-116.302778,32.516389000000004,HNGBN,35.9,35.9,BC,2.4
BC,"Emilio López Zamora, B.C.",-116.6025,31.890278000000002,ELZBN,24.0,24.0,BC,1.6
BC,"La Misión, B.C.",-116.81111100000001,32.101944,LAMBN,0.0,0.0,BC,0.0
BC,"Playa Rosarito, B.C. SMN*",-117.071389,32.3775,PLAYAROSARITO,38.6,38.6,BC,0.0
BC,"San Felipe, B.C.",-114.85,31.033333000000002,SFLBN,0.0,0.0,BC,4.2
BCS,"Cabo San Lucas, B.C.S.",-109.9125,22.881944,CSLBS,1.0,1.0,BCS,0.0
