Estado,Localidad,Edo,Clave,Lon,Lat,2018,2019,2020,Tmax,Tmin,Tmed
AGS,"Aguascalientes, Ags.",AGS,AGSAG,-102.31,21.9,25.8,148.5,25.8,23.46774194,6.403225806,14.93548387
AGS,"Calvillo, Ags. SMN*",AGS,CALVILLO,-102.71,21.85,56.0,18.3,56.0,26.52258065,3.874193548,15.198387099999998
AGS,"El Niagara, Ags.",AGS,NGRAG,-102.37,21.78,25.4,173.3,25.4,24.30645161,3.741935484,14.02419355
AGS,"La Codorniz, Ags.",AGS,CDRAG,-102.68,22.0,50.0,139.0,50.0,24.51612903,7.112903226,15.81451613
AGS,"Los Conos, Ags.",AGS,CNSAG,-102.0,21.9,51.5,100.4,51.5,23.41935484,3.7903225810000003,13.60483871
AGS,"Media Luna, Ags.",AGS,MNLAG,-102.79,21.81,48.9,131.4,48.9,25.51612903,3.483870968,14.5
AGS,"Pabellón, Ags.",AGS,PBLAG,-102.29,22.16,22.0,57.8,22.0,22.48387097,3.983870968,13.23387097
BC,"Cataviña, B.C. SMN*",BC,CATAVINA,-114.72,29.73,0.5,0.8,0.5,19.32333333,8.65,13.98666667
CAMP,"Campeche, Camp.",CAMP,CMPCA,-90.54,19.84,81.0,218.0,81.0,28.07142857,17.46428571,22.76785714
CAMP,"Canasayab, Camp.",CAMP,CANCA,-90.58,19.3,78.6,227.4,78.6,29.61290323,16.5483871,23.08064516
CAMP,"Candelaria, Camp.",CAMP,CNDCA,-91.05,18.18,159.1,204.9,159.1,29.51612903,17.22580645,23.37096774
CAMP,"Champotón, Camp.",CAMP,CHMCA,-90.72,19.36,74.0,246.0,74.0,29.296296299999998,17.37037037,23.33333333
CAMP,"El Carmen, Camp.",CAMP,CARCA,-91.76,18.65,176.9,83.5,176.9,28.68181818,21.31818182,25.0
CAMP,"Escárcega, Camp.",CAMP,ESCCA,-90.74,18.6,86.9,216.1,86.9,27.703703700000002,18.25925926,22.98148148
CAMP,"Hecelchakan, Camp.",CAMP,HECCA,-90.11,20.18,39.7,264.0,39.7,31.451612899999997,19.03225806,25.24193548
CAMP,"Hopelchen, Camp.",CAMP,HPOCA,-89.85,19.75,50.1,187.4,50.1,29.7,15.23333333,22.46666667
CAMP,"Palizada, Camp.",CAMP,PLZCA,-92.09,18.25,191.0,68.5,191.0,28.22580645,18.25806452,23.24193548
CAMP,"Sabancuy, Camp.",CAMP,SBNCA,-91.18,18.97,89.5,197.2,89.5,27.37931034,17.48275862,22.43103448
CAMP,"Xcupil, Camp.",CAMP,XCPCA,-89.86,19.66,56.2,203.6,56.2,30.80645161,14.77419355,22.79032258
CHIH,"Abraham González, Chih.",CHIH,AGZCH,-107.48,28.48,0.0,84.0,0.0,17.0,-3.333333333,6.833333333
CHIH,"Casas Grandes, Chih.",CHIH,CAGCH,-107.93,30.38,0.0,36.2,0.0,16.53870968,-0.380645161,8.079032258
CHIH,"Chinipas, Chih.",CHIH,CNDCH,-108.54,27.42,0.0,168.0,0.0,24.79032258,6.74516129,15.76774194
CHIH,"El Tintero, Chih.",CHIH,TNTCH,-107.38,29.56,0.0,45.6,0.0,17.74193548,-0.322580645,8.709677419
CHIH,"Las Lajas, Chih.",CHIH,LJSCH,-107.03,29.88,0.0,30.4,0.0,14.4516129,-0.9032258059999999,6.7741935479999995
CHIH,"Ojinaga, Chih.",CHIH,OJNCH,-104.41,29.56,0.0,19.0,0.0,19.61290323,2.016129032,10.81451613
CHIS,"Acala, Chis.",CHIS,ACACP,-92.8,16.55,2.2,107.6,2.2,30.46774194,15.58064516,23.02419355
CHIS,"Arriaga, Chis.",CHIS,AROCP,-93.9,16.24,0.0,169.4,0.0,34.51935484,21.71290323,28.11612903
CHIS,"Boquerón, Chis.",CHIS,BOQCP,-93.15,16.64,0.9,65.9,0.9,31.48387097,16.58064516,24.03225806
CHIS,"Catarinitas, Chis. SGT*",CHIS,CATARINITAS,-92.48,15.97,16.0,55.4,16.0,31.55483871,17.09032258,24.32258065
CHIS,"Finca Argovia, Chis. OCFS*",CHIS,ARGOVIA,-92.3,15.12,16.1,247.7,16.1,29.79354839,17.13548387,23.46451613
CHIS,"Grijalva, Chis.",CHIS,GRICP,-93.12,16.98,0.3,131.6,0.3,30.37096774,16.01612903,23.19354839
CHIS,"Ignacio López Rayón, Chis. OCFS*",CHIS,ILRAYON,-92.18,14.63,0.3,23.5,0.3,31.53225806,21.13870968,26.33548387
CHIS,"Puente Concordia, Chis.",CHIS,PCOCP,-91.97,15.85,13.3,18.9,13.3,29.72580645,13.90322581,21.81451613
CHIS,"Reforma, Chis.",CHIS,REFCP,-92.67,15.92,13.9,220.1,13.9,31.0,13.87096774,22.43548387
CHIS,"Revolución Mexicana, Chis.",CHIS,REVCP,-93.08,16.16,1.2,288.7,1.2,29.20967742,14.74193548,21.97580645
CHIS,"Salto de Agua, Chis.",CHIS,SAACP,-92.35,17.57,582.5,132.8,582.5,27.5,18.26785714,22.88392857
CHIS,"San Joaquín, Chis.",CHIS,SJOTB,-92.92,17.5,569.0,160.5,569.0,28.07407407,18.44444444,23.25925926
CHIS,"San Miguel, Chis.",CHIS,SMICP,-92.24,15.78,12.9,111.0,12.9,33.38709677,13.83870968,23.61290323
CHIS,"Santo Domingo, Chis.",CHIS,SDOCP,-93.06,16.45,0.0,101.9,0.0,30.81666667,16.08333333,23.45
CHIS,"Siltepec, Chis. SGT*",CHIS,SILTEPEC,-92.32,15.56,224.4,135.4,224.4,26.31071429,15.16428571,20.7375
