LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",44.19
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",33
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",101.27
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",35
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",70.22
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",46.72
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",17.28
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",24.32
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",96.42
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",19.96
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",78.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",39.64
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",32.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",49
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",24.73
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",48.03
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",32.6
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",46.85
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",39
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",49
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",116.03
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.4
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",0
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0.01
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs SEMAR, B.C.S.",0
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",0.01
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",0
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",264
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",351.72
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",304.1
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",162
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",233.51
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",309.5
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",446.71
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",296.61
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",219.2
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",275.11
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",310
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",154.1
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",355.8
