Lon,Lat,Clave,Edo,Est,Tmax
-99.75,16.76,76805,GRO,ACAPULCO,33.27741935
-102.29,21.85,76571,AGS,AGUASCALIENTES,22.94193548
-111.83,30.71,76113,SON,ALTAR,20.86896552
-93.9,16.24,76840,CHIS,ARRIAGA,34.46451613
-90.5,19.83,76695,CAMP,CAMPECHE,29.4
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,27.42903226
-109.92,27.48,76258,SON,CD. OBREGON,22.10714286
-99.17,23.75,76491,TAMPS,CD. VICTORIA,22.972
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,23.07096774
-88.3,18.48,76750,QROO,CHETUMAL,29.92258065
-106.13,28.67,76225,CHIH,CHIHUAHUA,20.07096774
-99.5,17.55,76762,GRO,CHILPANCINGO,29.65333333
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,24.27666667
-94.51,18.19,76741,VER,COATZACOALCOS,27.03666667
-103.72,19.24,76658,COL,COLIMA,32.27666667
-92.13,16.23,76848,CHIS,COMITAN,23.71290323
-99.23,18.89,76726,MOR,CUERNAVACA,24.67037037
-104.6,24.09,76423,DGO,DURANGO,24.24516129
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,21.80714286
-110.8,27.95,76256,SON,EMPALME,24.94516129
-103.39,20.71,76612,JAL,GUADALAJARA,24.24193548
-101.29,21.01,76577,GTO,GUANAJUATO,22.47777778
-110.93,29.08,76160,SON,HERMOSILLO,23.28076923
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,21.38709677
-96.9,19.51,76687,VER,JALAPA,20.85
-110.32,24.12,76405,BCS,LA PAZ,25.58333333
-111.35,26.02,76305,BCS,LORETO,25.61724138
-104.33,19.07,76654,COL,MANZANILLO,31.50322581
-98.81,21.28,76585,SLP,MATLAPA,21.88095238
-106.41,23.22,76458,SIN,MAZATLAN,27.70967742
-89.65,20.95,76644,YUC,MERIDA,29.79655172
-101.42,26.91,76342,COAH,MONCLOVA,21.05517241
-100.3,25.73,76393,NL,MONTERREY,21.44444444
-101.18,19.7,76665,MICH,MORELIA,24.92903226
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,16.53870968
-97.1,18.85,76737,VER,ORIZABA,21.76666667
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,18.89333333
-89.65,21.28,76593,YUC,PROGRESO,28.12692308
-98.17,19.05,76685,PUE,PUEBLA,23.58064516
-96.48,15.65,76855,OAX,PUERTO ANGEL,32.84666667
-100,21.92,76581,SLP,RIO VERDE,25.73
-95.18,16.17,76833,OAX,SALINA CRUZ,31.71428571
-101.02,25.38,76390,COAH,SALTILLO,20.72580645
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,21.67333333
-103.65,23.47,76471,ZAC,SOMBRERETE,21.54516129
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,25.3137931
