Estado,Localidad,Lon,Lat,Clave,Tmax,Tmin,Tmed
AGS,Aguascalientes Ags.,-102.31,21.9,AGSAG,23.46774194,6.403225806,14.93548387
AGS,Calvillo Ags. SMN*,-102.71,21.85,CALVILLO,26.52258065,3.874193548,15.198387099999998
AGS,Cincuenta Aniversario Ags.,-102.47,22.19,ANVAG,22.72258065,5.422580645,14.07258065
AGS,Cosío Ags.,-102.3,22.36,CSOAG,18.08064516,0.790322581,9.435483871
AGS,Derivadora Pabellón Ags.,-102.44,22.24,PTRAG,22.08064516,5.064516128999999,13.57258065
AGS,El Niagara Ags.,-102.37,21.78,NGRAG,24.30645161,3.741935484,14.02419355
AGS,Jocoque Ags.,-102.36,22.12,JCQAG,23.12903226,4.4193548389999995,13.77419355
AGS,La Codorniz Ags.,-102.68,22.0,CDRAG,24.51612903,7.112903226,15.81451613
AGS,Los Conos Ags.,-102.0,21.9,CNSAG,23.41935484,3.7903225810000003,13.60483871
AGS,Media Luna Ags.,-102.79,21.81,MNLAG,25.51612903,3.483870968,14.5
AGS,Observatorio de Aguascalientes Ags.,-102.29,21.85,OBSAG,24.07741935,5.716129032,14.89677419
AGS,Pabellón Ags.,-102.29,22.16,PBLAG,22.48387097,3.983870968,13.23387097
AGS,Plutarco Elías Calles Ags.,-102.42,22.14,PECAG,23.01612903,5.564516128999999,14.29032258
BC,Cataviña B.C. SMN*,-114.72,29.73,CATAVINA,19.32333333,8.65,13.98666667
BCS,Bahía de Loreto B.C.S. SMN*,-111.35,26.01,BLORETO,24.80967742,13.18709677,18.998387100000002
BCS,CD. CONSTITUCIÓN,-111.65,25.01,76402,27.42903226,8.54516129,17.98709677
BCS,Cabo San Lucas B.C.S. SMN*,-109.92,22.89,SLUBS,27.248387100000006,18.13548387,22.69193548
BCS,LA PAZ,-110.32,24.12,76405,25.58333333,14.61,20.09666667
BCS,STA. ROSALIA,-112.25,27.28,76253,19.875,13.52083333,16.69791667
BCS,Todos los Santos B.C.S. SMN*,-110.22,23.45,TODOSLOSSANTOS,25.45483871,15.43548387,20.44516129
CAMP,Bolonchen Camp.,-89.74,20.0,BOLCA,29.34482759,17.53448276,23.43965517
CAMP,CAMPECHE,-90.5,19.83,76695,29.4,17.34814815,23.37407407
CAMP,Calakmul Camp. SMN*,-89.89,18.09,CALAKMUL,29.13225806,15.32580645,22.22903226
CAMP,Calakmul Camp. SMN*,-89.89,18.36,CALCA,28.86,17.32333333,23.09166667
CAMP,Campeche Camp.,-90.54,19.84,CMPCA,28.07142857,17.46428571,22.76785714
CAMP,Canasayab Camp.,-90.58,19.3,CANCA,29.61290323,16.5483871,23.08064516
CAMP,Candelaria Camp.,-91.05,18.18,CNDCA,29.51612903,17.22580645,23.37096774
CAMP,Champotón Camp.,-90.72,19.36,CHMCA,29.296296299999998,17.37037037,23.33333333
CAMP,El Carmen Camp.,-91.76,18.65,CARCA,28.68181818,21.31818182,25.0
CAMP,Escárcega Camp.,-90.74,18.6,ESCCA,27.703703700000002,18.25925926,22.98148148
CAMP,Hecelchakán Camp.,-90.11,20.18,HECCA,31.451612899999997,19.03225806,25.24193548
CAMP,Hopelchen Camp.,-89.85,19.75,HPOCA,29.7,15.23333333,22.46666667
