LON,LAT,EDO,CLAVE_SIH,NOMBRE,ENE
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",6.61
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",10.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",10.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",18.17
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",16.7
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",17.3
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",9.2
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",13.2
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",7.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",6.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",24.3
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",5.51
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",15.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",8.71
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",10.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",11
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",6.8
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",6
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",11.53
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",17.41
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",6
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",11
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",22.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",18.82
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",48.2
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",11.31
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",58.7
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",20.6
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",48.42
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",8.9
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",3.51
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",9.31
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",3.51
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",73.4
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",1.2
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",4.1
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",4
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",6.4
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",8
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",8.01
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",13.81
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",13.7
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",16.5
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",16.51
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",3.51
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",21.62
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico SMN, B.C.S.",20.8
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",13.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",12
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",2
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",22.4
-109.924444,22.888333,BCS,SLUBS,"Cabo San Lucas, B.C.S. SMN*",0
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",9.21
