LON,LAT,EDO,CLAVE_SIH,NOMBRE,FEB
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",0
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",0
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",0.01
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",121.71
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",18.39
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",165.3
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",132.22
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",105.23
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",112.62
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",2.01
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",6.02
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",8.61
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",6.02
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",89
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",3.1
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",102
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",1.4
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",1.04
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",8.75
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0.02
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0.21
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0.4
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs SEMAR, B.C.S.",0.25
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",0.01
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico SMN, B.C.S.",3.8
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",1
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.924444,22.888333,BCS,SLUBS,"Cabo San Lucas, B.C.S. SMN*",0
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",0
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0.01
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",30
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",9.11
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",4.01
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",9.2
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",4.02
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",3.5
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",7.41
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",5.32
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",0.6
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",4
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",75
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",1.2
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",31.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",0.6
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",2.4
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",16
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",7.5
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",19.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",19.51
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",24.5
-108.209167,28.198889,CHIH,BASCH,"Basaseachi, Chih. SMN*",149.1
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",198.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",28.11
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",66
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",1.5
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",18
-107.233333,28.716667,CHIH,C08215,"Las Chepas, Chih.",35
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",45.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",4.3
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",2.71
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",3.03
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0.01
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",1
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",33.03
-106.871111,28.418611,CHIH,CUACH,"CuauhtÈmoc, Chih.",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0.01
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",15.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",62.02
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",13.52
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",4
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0.02
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",5.08
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",1
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0.03
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",1.1
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0.01
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",0.5
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",22.52
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",39.12
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",2.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",45.51
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",42.69
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.03
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",44.5
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0.2
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",49.2
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",0
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",53.8
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",0
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",6.1
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",0
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",43.7
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",2.4
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.01
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0.2
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj· SGT, Chis",26
