LON,LAT,EDO,CLAVE_SIH,NOMBRE,MAY
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",2.12
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",4.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",5.32
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",0
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",0
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",3.22
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",12
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",6
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",0.01
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.91
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",4.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",0.5
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",3.3
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",0.04
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0.02
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",19.93
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",29.93
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",20.54
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",15.22
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",1.81
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",24.3
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",23.53
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.02
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",12.4
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",36
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",0
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.01
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs SEMAR, B.C.S.",21.08
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",0
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",0
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",133
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",105.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",122.3
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",188
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",46
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",89.51
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",108.3
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",94.31
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",46.8
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",82.21
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",147.1
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",67.7
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",106.8
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",35.1
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",81.2
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",54.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",56.71
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",60.1
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",3
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",6.4
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",0
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",3
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",15
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",0
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",5
