LON,LAT,EDO,CLAVE,ESTACION,JUL
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",148.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",18.3
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",139
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",100.4
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",39.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",43.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",131.4
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",173.3
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",145.8
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",57.8
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",45.3
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",32
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",61.1
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",45.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.8
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",46.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1.4
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",2.3
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",1.6
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0.1
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",2.4
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",4.2
