LON,LAT,EDO,CLAVE,ESTACION,AGO
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",171.35
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",113.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",105.47
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",156.3
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",126.8
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",111.24
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",160.73
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",40.33
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",108.32
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",226.03
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",155.45
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",121.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",156.71
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",107.5
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",90.21
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",161.02
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",151.52
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",107.42
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",67
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",105
-102.362222,21.972222,AGS,UAALAPOSTA,"Univ. AutÛnoma de Aguascalientes La Posta, Ags. SGT*",41.8
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",83.91
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",6.1
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.25
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.01
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",3.1
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0.02
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.02
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.03
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.2
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",10
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",58.02
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",18.41
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",89.81
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",4.5
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",15.01
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",104.91
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",54.74
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",23.6
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",59
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",121
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",151
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",64.02
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",89
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",136
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",51.19
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",167.81
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",65.81
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",53.8
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",138.01
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",193.4
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",52.73
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",237.31
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",40.4
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",220.02
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",108
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",122
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",147.2
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",247.4
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",157.4
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",55.81
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",138.6
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",82.7
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",59.2
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",192.52
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",102.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",485.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",170.23
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",139
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",211.04
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",182.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",128.56
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",50.14
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",64.85
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",96.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",43.94
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",100.33
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",67.2
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",206.49
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",95.12
