LON,LAT,EDO,CLAVE,ESTACION,oct-19
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",21.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",22.23
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",64
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",30.23
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",14.44
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",40.62
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",29.34
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",23.53
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",27.22
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",63.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",29
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",70.02
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",23
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",20.41
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",47.02
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",25.74
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",54.61
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",25
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",33
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",83.1
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",92.01
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",101.81
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",36
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",7
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",81
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",57.71
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",52.13
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",64.51
