Lon,Lat,Clave,Edo,Est,Tmed
-99.75,16.76,76805,GRO,ACAPULCO,26.73571429
-102.29,21.85,76571,AGS,AGUASCALIENTES,16.81428571
-111.83,30.71,76113,SON,ALTAR,12.90416667
-93.9,16.24,76840,CHIS,ARRIAGA,28.87142857
-90.5,19.83,76695,CAMP,CAMPECHE,27.51481481
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,17.79642857
-109.92,27.48,76258,SON,CD. OBREGON,14.44791667
-99.17,23.75,76491,TAMPS,CD. VICTORIA,19.96730769
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,18.74821429
-88.3,18.48,76750,QROO,CHETUMAL,26.98035714
-106.13,28.67,76225,CHIH,CHIHUAHUA,14.96428571
-99.5,17.55,76762,GRO,CHILPANCINGO,23.72678571
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,17.80555556
-94.51,18.19,76741,VER,COATZACOALCOS,25.25178571
-103.72,19.24,76658,COL,COLIMA,25.73571429
-92.13,16.23,76848,CHIS,COMITAN,20.05178571
-99.23,18.89,76726,MOR,CUERNAVACA,22.35434783
-107.44,24.63,76412,SIN,CULIACÁN,20.86481481
-104.6,24.09,76423,DGO,DURANGO,17.30714286
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,13.60384615
-110.8,27.95,76256,SON,EMPALME,17.975
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,25.76071429
-103.39,20.71,76612,JAL,GUADALAJARA,19.16964286
-101.29,21.01,76577,GTO,GUANAJUATO,18.25
-110.93,29.08,76160,SON,HERMOSILLO,16.7775
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,15.38035714
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,20.71964286
-96.9,19.51,76687,VER,JALAPA,19.25185185
-110.32,24.12,76405,BCS,LA PAZ,20.22857143
-111.35,26.02,76305,BCS,LORETO,19.11428571
-104.33,19.07,76654,COL,MANZANILLO,25.98571429
-98.81,21.28,76585,SLP,MATLAPA,22.43653846
-106.41,23.22,76458,SIN,MAZATLAN,21.37857143
-89.65,20.95,76644,YUC,MERIDA,27.51607143
-101.42,26.91,76342,COAH,MONCLOVA,18.74821429
-100.3,25.73,76393,NL,MONTERREY,19.56153846
-101.18,19.7,76665,MICH,MORELIA,18.70892857
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,10.98392857
-96.7,17.07,76775,OAX,OAXACA,21.80892857
-97.1,18.85,76737,VER,ORIZABA,19.9375
-98.75,20.13,76632,HGO,PACHUCA,16.41785714
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,16.4
-89.65,21.28,76593,YUC,PROGRESO,26.85925926
-98.17,19.05,76685,PUE,PUEBLA,17.4375
-96.48,15.65,76855,OAX,PUERTO ANGEL,27.516
-100.4,20.58,76625,QRO,QUERETARO,19.33035714
-100,21.92,76581,SLP,RIO VERDE,23.25555556
-95.18,16.17,76833,OAX,SALINA CRUZ,28.73214286
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,15.98214286
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,18.23571429
-103.65,23.47,76471,ZAC,SOMBRERETE,16.12321429
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,22.50535714
-112.25,27.28,76253,BCS,STA. ROSALIA,16.01190476
-97.85,22.22,76548,TAMPS,TAMPICO,23.882
-92.25,14.92,76903,CHIS,TAPACHULA,29.4037037
-107.82,28.95,76220,CHIH,TEMOSACHIC,7.308333333
-104.89,21.49,76556,NAY,TEPIC,21.15357143
-98.24,19.31,76683,TLAX,TLAXCALA,16.24464286
-99.71,19.29,76675,MEX,TOLUCA,13.35714286
-103.45,25.53,76382,COAH,TORREON,21.36428571
-98.36,20.08,76634,HGO,TULANCINGO,17.83035714
-97.42,20.96,76640,VER,TUXPAN,22.43461538
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,26.28392857
-88.2,20.69,76647,YUC,VALLADOLID,26.51086957
-96.14,19.16,76692,VER,VERACRUZ,24.45
-92.93,17.98,76743,TAB,VILLAHERMOSA,27.05185185
-102.57,22.78,76525,ZAC,ZACATECAS,13.71071429
-102.32,19.98,76662,MICH,ZAMORA,20.26071429
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,16
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,18.13461538
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,14.5
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,23.96428571
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,19.86607143
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,20.59615385
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,20.46153846
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,22.10714286
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,15.34230769
