Lon,Lat,Clave,Edo,Est,Tmax
-102.29,21.85,76571,AGS,Aguascalientes,25.9
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,27.9
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,29.8
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,30.2
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,29.2
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,28.5
-102,21.9,CNSAG,AGS,Los Conos Ags.,26.7
-102.68,22,CDRAG,AGS,La Codorniz Ags.,27.3
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,27.9
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,27.6
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,27.9
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,24.6
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,26.4
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,22.9
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,19.0
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,27.8
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,28.3
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,27.0
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,23.1
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,26.5
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,28.8
-102,22.02,NVLAG,AGS,El Novillo Ags.,25.8
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,27.1
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,33.4
-114.85,31.03,SFLBN,BC,San Felipe B.C.,35.4
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,28.2
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,28.6
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,38.6
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,31.1
-116.83,32.47,EFLBN,BC,El Florido B.C.,30.7
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,31.1
-116.3,32.52,HNGBN,BC,El Hongo B.C.,26.7
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,36.7
-115.27,32.39,MXCBN,BC,Mexicali B.C.,38.9
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,27.4
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,32.7
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,35.1
-116.37,31.49,ENSBN,BC,Ensenada B.C.,28.1
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,25.7
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,26.1
