Lon,Lat,Clave,Edo,Est,Tmin
-99.75,16.76,76805,GRO,ACAPULCO,20.89642857
-102.29,21.85,76571,AGS,AGUASCALIENTES,7.75
-111.83,30.71,76113,SON,ALTAR,5.816666667
-93.9,16.24,76840,CHIS,ARRIAGA,21.88214286
-90.5,19.83,76695,CAMP,CAMPECHE,20.18518519
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,9.242857143
-109.92,27.48,76258,SON,CD. OBREGON,8.445833333
-99.17,23.75,76491,TAMPS,CD. VICTORIA,13.03461538
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,11.16785714
-88.3,18.48,76750,QROO,CHETUMAL,22.90357143
-106.13,28.67,76225,CHIH,CHIHUAHUA,7.235714286
-99.5,17.55,76762,GRO,CHILPANCINGO,15.66785714
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,9.114814815
-94.51,18.19,76741,VER,COATZACOALCOS,20.35
-103.72,19.24,76658,COL,COLIMA,17.28928571
-92.13,16.23,76848,CHIS,COMITAN,12.85
-99.23,18.89,76726,MOR,CUERNAVACA,13.9173913
-107.44,24.63,76412,SIN,CULIACÁN,12.05925926
-104.6,24.09,76423,DGO,DURANGO,7.185714286
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,6.465384615
-110.8,27.95,76256,SON,EMPALME,11.36428571
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,19.32857143
-103.39,20.71,76612,JAL,GUADALAJARA,9.507142857
-101.29,21.01,76577,GTO,GUANAJUATO,9.917857143
-110.93,29.08,76160,SON,HERMOSILLO,9.8
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,6.564285714
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,9.696428571
-96.9,19.51,76687,VER,JALAPA,12.83333333
-110.32,24.12,76405,BCS,LA PAZ,14.68928571
-111.35,26.02,76305,BCS,LORETO,13.83571429
-104.33,19.07,76654,COL,MANZANILLO,21.42857143
-98.81,21.28,76585,SLP,MATLAPA,17.25384615
-106.41,23.22,76458,SIN,MAZATLAN,16.4
-89.65,20.95,76644,YUC,MERIDA,20.78571429
-101.42,26.91,76342,COAH,MONCLOVA,11.53214286
-100.3,25.73,76393,NL,MONTERREY,13.68461538
-101.18,19.7,76665,MICH,MORELIA,8.785714286
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,3.028571429
-96.7,17.07,76775,OAX,OAXACA,11.63214286
-97.1,18.85,76737,VER,ORIZABA,13.89642857
-98.75,20.13,76632,HGO,PACHUCA,7.467857143
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,10.13333333
-89.65,21.28,76593,YUC,PROGRESO,20.65555556
-98.17,19.05,76685,PUE,PUEBLA,8.021428571
-96.48,15.65,76855,OAX,PUERTO ANGEL,22.256
-100.4,20.58,76625,QRO,QUERETARO,11.49642857
-100,21.92,76581,SLP,RIO VERDE,13.78518519
-95.18,16.17,76833,OAX,SALINA CRUZ,23.72857143
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,7.917857143
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,8.271428571
-103.65,23.47,76471,ZAC,SOMBRERETE,6.921428571
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,15.575
-112.25,27.28,76253,BCS,STA. ROSALIA,12.69047619
-97.85,22.22,76548,TAMPS,TAMPICO,18.544
-92.25,14.92,76903,CHIS,TAPACHULA,23.18888889
-107.82,28.95,76220,CHIH,TEMOSACHIC,-0.633333333
-104.89,21.49,76556,NAY,TEPIC,13.69642857
-98.24,19.31,76683,TLAX,TLAXCALA,6.178571429
-99.71,19.29,76675,MEX,TOLUCA,2.010714286
-103.45,25.53,76382,COAH,TORREON,12.38571429
-98.36,20.08,76634,HGO,TULANCINGO,8.846428571
-97.42,20.96,76640,VER,TUXPAN,18.01538462
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,18.22142857
-88.2,20.69,76647,YUC,VALLADOLID,19.95652174
