LON,LAT,EDO,CLAVE,ESTACION,dic-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",19.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",5.78
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",7
-102.295,22.165,AGS,CEPAB,"Campo Experimental PabellÛn, Ags. INIFAP*",11.8
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",20.9
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",27.01
-102.254722,22.123333,AGS,DONPRIMO,"Don Primo, Ags. INIFAP*",12.2
-102.259167,21.864722,AGS,ELCEDAZO,"El Cedazo, Ags. INIFAP*",19.8
-102.705833,21.744167,AGS,ELLAUREL,"El Laurel, Ags. INIFAP*",12.4
-102.291667,22.363611,AGS,ELPOTRERITO,"El Potrerito, Ags. INIFAP*",19
-102.26,21.783333,AGS,GRANJAELISA,"Granja Elsa, Ags. INIFAP*",13
-102.06,21.941667,AGS,HUIZACHE,"Huizache, Ags. INIFAP*",22
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",15.2
-102.675,21.993333,AGS,LACODORNIZ,"La Codorniz, Ags. INIFAP*",6.6
-102.225,22.320278,AGS,LOSPINOSAG,"Los Pinos, Ags. INIFAP*",19.4
-102.274722,22.2175,AGS,MAKELISA,"Makelisa, Ags. INIFAP*",11.6
-102.266667,22.0025,AGS,MEDIOKILO,"Medio Kilo, Ags. INIFAP*",11.8
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",13.1
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",17.9
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",12.81
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",15.51
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",16.03
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",22.91
-102.560278,22.030278,AGS,SANISIDROAG,"San Isidro, Ags. INIFAP*",12.8
-102.375278,21.922222,AGS,SANJACOBO,"San Jacobo, Ags. INIFAP*",9.4
-102.314722,21.755,AGS,SANTAANITA,"Santa Anita, Ags. INIFAP*",15.2
-102.294444,22.054167,AGS,SANTALUCIA,"Santa LucÌa, Ags. INIFAP*",18.4
-102.436944,22.233056,AGS,TDEPOTRERILLOS,"T˙nel de Potrerillos, Ags. INIFAP*",15.4
-102.362222,21.972222,AGS,UAALAPOSTA,"Univ. AutÛnoma de Aguascalientes La Posta, Ags. SGT*",1.3
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",37.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",180.15
-113.560278,28.896389,BC,BAABN,"BahÌa de los ¡ngeles, B.C. SMN*",6.8
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",20.71
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",14.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",117.7
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",139.4
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",94.1
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",45.8
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",9.1
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de EnvoleÛn, B.C. SMN*",4.4
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",77.31
-115.209722,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",31.49
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",4.31
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",13.62
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",86.4
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",6.42
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",142.8
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",101.6
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",52.6
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",105
-111.353889,26.009722,BCS,BLORETO,"BahÌa de Loreto, B.C.S. SMN*",1.4
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",2.7
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",3.22
-113.457222,27.6425,BCS,DIABN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",38.6
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",43.03
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",38.92
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",0.4
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0.01
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0.03
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",16
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",4.53
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",0.01
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",17.2
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0.01
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",1.2
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",0
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",7.02
-110.215556,23.446667,BCS,TODOSLOSSANTOS,"Todos los Santos, B.C.S. SMN*",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",52
-89.898889,18.486111,CAMP,CALAKMULINIF,"Calakmul, Camp. INIFAP*",198.6
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",0
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",63
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",85.3
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",82.73
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",59.4
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",146.5
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",126.61
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",112.92
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",76.1
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",80.4
-90.758333,18.607778,CAMP,ESCARCEGA,"Esc·rcega, Camp. SMN*",57.6
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",65.12
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",48
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",78
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",95.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",62.21
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",20.2
