Lon,Lat,Clave,Edo,Est,Tmed
-102.29,21.85,76571,AGS,AGUASCALIENTES,24.75
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,23.58333333
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,24.73333333
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,25.13333333
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,24.785
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,24.87
-102,21.9,CNSAG,AGS,Los Conos Ags.,22.80833333
-102.68,22,CDRAG,AGS,La Codorniz Ags.,24.43333333
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,23.425
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,22.44166667
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,23.08333333
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,22.50833333
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,21.59821429
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,22.25
-102.3,22.36,CSOAG,AGS,Cosío Ags.,18.39166667
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,27.25333333
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,22.62321429
-114.85,31.03,SFLBN,BC,San Felipe B.C.,30.56666667
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,19.44565217
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,18.108
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,21.05952381
-116.83,32.47,EFLBN,BC,El Florido B.C.,19.94444444
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,20.47058824
-116.3,32.52,HNGBN,BC,El Hongo B.C.,18.94444444
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,29.225
-115.27,32.39,MXCBN,BC,Mexicali B.C.,31.58333333
-116.81,32.1,LAMBN,BC,La Misión B.C.,18.95454545
-115.93,30.52,ENBBN,BC,San Quintín B.C.,19.08913043
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,36.74545455
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,24.13666667
-110.32,24.12,76405,BCS,LA PAZ,28.77666667
-111.35,26.02,76305,BCS,LORETO,30.03166667
