Lon,Lat,Clave,Edo,Est,Tmax
-99.75,16.76,76805,GRO,ACAPULCO,33.51612903
-102.29,21.85,76571,AGS,AGUASCALIENTES,32.98461538
-111.83,30.71,76113,SON,ALTAR,29.89677419
-93.9,16.24,76840,CHIS,ARRIAGA,37.25172414
-90.5,19.83,76695,CAMP,CAMPECHE,39.21290323
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,28.42258065
-109.92,27.48,76258,SON,CD. OBREGON,31.79285714
-99.17,23.75,76491,TAMPS,CD. VICTORIA,34.87741935
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,29.61333333
-88.3,18.48,76750,QROO,CHETUMAL,33.50322581
-106.13,28.67,76225,CHIH,CHIHUAHUA,33.69333333
-99.5,17.55,76762,GRO,CHILPANCINGO,33.37096774
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,32.07241379
-94.51,18.19,76741,VER,COATZACOALCOS,37.03225806
-103.72,19.24,76658,COL,COLIMA,35.13225806
-92.13,16.23,76848,CHIS,COMITAN,29.73225806
-99.23,18.89,76726,MOR,CUERNAVACA,28.02916667
-107.44,24.63,76412,SIN,CULIACÁN,35.42903226
-104.6,24.09,76423,DGO,DURANGO,34.10967742
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,32.275
-110.8,27.95,76256,SON,EMPALME,30.50666667
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,35.82580645
-103.39,20.71,76612,JAL,GUADALAJARA,33.76451613
-101.29,21.01,76577,GTO,GUANAJUATO,32.21428571
-110.93,29.08,76160,SON,HERMOSILLO,33.852
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,33.66666667
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,34.63
-96.9,19.51,76687,VER,JALAPA,29.62580645
-110.32,24.12,76405,BCS,LA PAZ,32.92580645
-111.35,26.02,76305,BCS,LORETO,31.15806452
-104.33,19.07,76654,COL,MANZANILLO,30.54516129
-98.81,21.28,76585,SLP,MATLAPA,35.76666667
-106.41,23.22,76458,SIN,MAZATLAN,29.67666667
-89.65,20.95,76644,YUC,MERIDA,37.82580645
-101.42,26.91,76342,COAH,MONCLOVA,36.5
-100.3,25.73,76393,NL,MONTERREY,33.08333333
-101.18,19.7,76665,MICH,MORELIA,34.05333333
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,30.29032258
-96.7,17.07,76775,OAX,OAXACA,33.25172414
-97.1,18.85,76737,VER,ORIZABA,30.07419355
-98.75,20.13,76632,HGO,PACHUCA,28.82333333
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,32.80666667
-89.65,21.28,76593,YUC,PROGRESO,36.19032258
-98.17,19.05,76685,PUE,PUEBLA,30.01935484
-96.48,15.65,76855,OAX,PUERTO ANGEL,33.44666667
-100.4,20.58,76625,QRO,QUERETARO,31.69032258
-100,21.92,76581,SLP,RIO VERDE,38.06774194
-95.18,16.17,76833,OAX,SALINA CRUZ,35.96
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,26.17419355
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,33.2516129
-103.65,23.47,76471,ZAC,SOMBRERETE,31.31935484
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,37.58387097
-112.25,27.28,76253,BCS,STA. ROSALIA,25.57692308
-97.85,22.22,76548,TAMPS,TAMPICO,36.02903226
-92.25,14.92,76903,CHIS,TAPACHULA,35.98387097
-107.82,28.95,76220,CHIH,TEMOSACHIC,26.28666667
-104.89,21.49,76556,NAY,TEPIC,32.67
-98.24,19.31,76683,TLAX,TLAXCALA,29.35333333
-99.71,19.29,76675,MEX,TOLUCA,28.01612903
-103.45,25.53,76382,COAH,TORREON,38.66451613
-98.36,20.08,76634,HGO,TULANCINGO,30.55517241
-97.42,20.96,76640,VER,TUXPAN,35.13548387
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,37.64193548
-88.2,20.69,76647,YUC,VALLADOLID,37.21935484
-96.14,19.16,76692,VER,VERACRUZ,33.60645161
-92.93,17.98,76743,TAB,VILLAHERMOSA,37.91333333
-102.57,22.78,76525,ZAC,ZACATECAS,23.17419355
-102.32,19.98,76662,MICH,ZAMORA,35.49677419
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,31.88461538
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,32.80645161
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,29.58064516
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,38.64516129
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,30.20967742
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,35.39655172
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,35.6
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,35.77419355
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,31.01724138
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,30.64516129
-103.87,19.17,LAECM,COL,La Esperanza Col.,35.4
-99.1,18.79,TICMR,MOR,Ticumán Mor.,34.37037037
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,29.5483871
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,34.5
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,30.37931034
-103.27,22.11,76519,JAL,COLOTLAN,32.76
-100.5,21.22,POZGJ,GTO,Pozos Gto.,30.91935484
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,35.59677419
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,32
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,29.91935484
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,38.4
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),31.32592593
-96.41,19.26,LOFVC,VER,Loma Fina Ver.,36.17857143
-92.4,15,HUECP,CHIS,Huehuetán Chis.,37.36206897
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,29.41666667
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,38.87741935
-96.53,17.43,ATEOX,OAX,Atepec Oax.,30.20833333
-110.29,30.98,CNNSO,SON,Cananea Son.,24.97419355
-99.2,19.31,CCH S,DF,CCH Sur,28.22258065
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,29.25652174
-96.95,19.23,TOTVC,VER,Totutla Ver.,27.83870968
-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,29.29032258
-114.78,32.48,SLCSO,SON,San Luis Río Colorado Son.,32.64516129
-98.7,18.88,HUEMR,MOR,Hueyapan Mor.,26.46153846
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,31.225
-110.24,28.71,SJPSO,SON,San José de Pimas Son.,34.26666667
