Lon,Lat,Clave,Edo,Est,Tmin
-102.29,21.85,76571,AGS,AGUASCALIENTES,10.552
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,6.883333333
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,6.7
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,8.443333333
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,10.58666667
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,12.05
-102,21.9,CNSAG,AGS,Los Conos Ags.,6.85
-102.68,22,CDRAG,AGS,La Codorniz Ags.,11.06666667
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,9.65
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,11.13333333
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,9.25
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,10.64
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,10.95
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,10.35
-102.3,22.36,CSOAG,AGS,Cosío Ags.,5.916666667
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,13.77333333
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,11.06
-114.85,31.03,SFLBN,BC,San Felipe B.C.,18.1
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,11.6875
-115.15,32.41,ENLBN,BC,Ejido Nuevo León B.C.,13.76842105
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,12.45833333
-116.83,32.47,EFLBN,BC,El Florido B.C.,11.375
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,10.8125
-116.3,32.52,HNGBN,BC,El Hongo B.C.,5.047619048
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,14.27272727
-115.27,32.39,MXCBN,BC,Mexicali B.C.,16.52777778
-116.81,32.1,LAMBN,BC,La Misión B.C.,9.428571429
-115.93,30.52,ENBBN,BC,San Quintín B.C.,12.01818182
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,23.94347826
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,11.9
-110.32,24.12,76405,BCS,LA PAZ,16.69333333
-111.35,26.02,76305,BCS,LORETO,18.23666667
-112.25,27.28,76253,BCS,STA. ROSALIA,17.78846154
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),16.96666667
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,17.60666667
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,18.55333333
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,15.48666667
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,17.21428571
-109.71,23.07,SJCBS,BCS,San José del Cabo B.C.S.,16.60714286
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,14.49642857
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,10.5
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,13.83928571
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,18.25
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,11.85357143
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,15.23214286
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,14.26923077
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,15.92857143
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,16.72857143
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,11.88214286
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,18.26071429
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,17.39642857
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,9.185185185
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,13.39285714
-112,26.87,MLGBS,BCS,Mulegé B.C.S.,14.57142857
-90.5,19.83,76695,CAMP,CAMPECHE,22.30689655
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,21.13333333
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,21.72333333
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,20.17
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,21.68
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,21.06666667
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,21.3
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,22.60714286
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,24.62962963
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,20.64285714
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,21.73333333
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,22.4
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,23.89285714
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,20.36666667
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,21
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,22.81428571
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,22.13793103
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,22.5137931
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,22.14285714
-90.11,20.18,HECCA,CAMP,Hecelchakán Camp.,20.76666667
-106.13,28.67,76225,CHIH,CHIHUAHUA,12.55666667
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,10.91333333
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,7.563333333
-107.82,28.95,76220,CHIH,TEMOSACHIC,2.462068966
-106.87,28.42,CUACH,CHIH,Cuauhtémoc Chih.,4.5
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,0.361111111
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,6.821428571
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,15.78181818
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,14.03333333
-105.68,26.92,PRRCH,CHIH,Parral Chih.,10.84
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,14.7
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,17.04230769
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,9.089285714
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,18.35
-107.91,27.22,URECH,CHIH,Urique Chih.,17.05666667
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,12.98
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,8.733333333
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,12.53333333
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,11.13333333
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,0.089655172
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,11.5
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,2.483333333
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,12.31666667
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,2.58
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,15.20689655
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,3.306666667
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,7.466666667
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,10.9
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,7
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,7.576666667
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,14.44827586
-108.52,28.15,C08182,CHIH,Moris,9.75
-105.38,27.41,CL2CH,CHIH,Colina hidrométrica Chih.,7.55
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SGT*,10.64366667
-107.7,28.76,C08243,CHIH,Tejolocachi,1.107142857
-105.96,28.77,C08270,CHIH,La Mesa,9.214285714
-106.48,28.8,C08099,CHIH,Majalca,2.035714286
-108.09,29.25,C08219,CHIH,Peñitas,-0.857142857
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,0.136818182
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,5.5
-93.9,16.24,76840,CHIS,ARRIAGA,21.10333333
-92.13,16.23,76848,CHIS,COMITAN,14.46333333
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,8.54
-92.25,14.92,76903,CHIS,TAPACHULA,25.00333333
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,19.69333333
-92.4,15,HUECP,CHIS,Huehuetán Chis.,23.56666667
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,21.06333333
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,13.61333333
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,16.48666667
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,25.02
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,22.26666667
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,22.07392857
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,22.56666667
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,20.78571429
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,22.85
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,24.03333333
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,24
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,16.08
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,16.38333333
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,19.43333333
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,18.1
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,16.2
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,22.35
