,Lon,Lat,Clave,Edo,Est,Tmed_1,Tmed_2,Tmed_3,Tmed_4,Tmed_5,Tmed_6,Tmed_7,Tmed_8,Tmed_9,Tmed_10,Tmed_11,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11
0,-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,15.84677419,18.13461538,20.05645161,20.48214286,22.85483871,23.11538462,20.44827586,21.19565217,20.1,19.9,19.0,6.193548387000001,7.423076922999999,9.629032257999999,9.857142857000001,12.90322581,15.42307692,12.93103448,13.26086957,12.6,12.0,10.3,24.93548387,28.84615385,30.48387097,31.10714286,32.80645161,30.80769231,27.96551724,29.13043478,27.6,27.7,27.7
1,-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,11.25,14.5,16.4516129,17.31666667,20.25806452,18.73333333,17.53225806,18.16666667,16.6,16.2,14.1,2.596774194,4.821428571,6.516129032,7.533333333,10.93548387,11.2,10.41935484,10.56666667,9.9,9.5,6.6,19.90666667,24.17857143,26.38709677,27.1,29.58064516,26.26666667,24.64516129,25.76666667,23.2,22.8,21.5
2,-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,17.41612903,19.86607143,20.99193548,21.58,22.25,19.73148148,17.82758621,19.28703704,19.3,18.8,18.6,8.677419355,10.67857143,12.17741935,12.44,14.29032258,14.48148148,12.44827586,13.14814815,14.1,13.9,12.8,25.27586207,29.05357143,29.80645161,30.72,30.20967742,24.98148148,23.20689655,25.42592593,24.5,23.7,24.3
3,-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,20.29032258,20.46153846,21.7962963,23.35416667,24.775,29.57142857,31.42857143,30.518,29.6,28.8,25.5,10.4516129,10.65384615,10.44444444,12.45833333,13.95,21.71428571,24.53571429,24.52,24.0,22.1,18.0,30.30769231,30.26923077,33.14814815,34.25,35.6,37.42857143,38.32142857,36.516,35.1,35.5,33.0
4,-95.03,18.52,SONVC,VER,Sontecomapan Ver.,20.00925926,22.10714286,22.06666667,23.96666667,28.951612899999997,27.5,26.34677419,27.05,26.2,25.3,22.2,14.74074074,16.55357143,16.38333333,16.96666667,22.12903226,21.94444444,20.33870968,20.53333333,20.0,19.8,17.2,26.75,27.66071429,27.75,30.96666667,35.77419355,33.05555556,32.35483871,33.56666667,32.5,30.7,27.2
5,-100.36,20.2,CORGJ,GTO,Coroneo Gto.,13.08064516,15.34230769,17.30357143,17.38333333,19.5,19.3,17.36290323,18.35806452,17.6,17.2,15.8,2.516129032,4.011538462,5.2321428569999995,5.3,7.982758621,11.16666667,9.419354839,10.08064516,9.2,9.1,7.1,23.91935484,26.67307692,29.375,29.46666667,31.01724138,27.43333333,25.30645161,26.63548387,26.0,25.2,24.6
6,-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,11.5483871,14.0,16.3,16.96666667,19.98387097,20.16666667,18.56451613,18.98709677,17.3,16.4,14.6,1.870967742,3.5,6.066666667000001,6.533333333,9.322580645,12.03333333,10.74193548,11.41935484,10.5,10.0,7.4,20.93333333,24.5,26.53333333,27.4,30.64516129,28.3,26.38709677,26.55483871,24.0,22.7,21.8
7,-96.97,19.45,TAPVC,VER,Tapachapan Ver.,15.5,19.26785714,19.46,21.21666667,23.88709677,23.11538462,22.83870968,22.67741935,21.3,20.9,19.0,10.56521739,13.21428571,14.0,15.23333333,18.22580645,17.92307692,17.22580645,17.41935484,16.5,16.2,14.5,22.03214286,25.32142857,24.92,27.2,29.548387100000003,28.30769231,28.451612899999997,27.93548387,26.1,25.7,23.5
8,-100.5,21.22,POZGJ,GTO,Pozos Gto.,12.83870968,16.7037037,17.91129032,19.54166667,21.93548387,19.7,18.53333333,19.11935484,18.0,17.1,15.8,4.741935484,7.777777778,8.370967742000001,10.05,12.9516129,12.55,11.7,11.74193548,11.4,10.9,8.5,21.01666667,25.62962963,27.451612899999997,29.03333333,30.91935484,26.85,25.36666667,26.49677419,24.7,23.3,23.1
9,-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,22.58064516,23.15178571,23.62931034,24.56666667,25.91129032,30.30833333,30.98387097,29.87068966,29.8,28.9,26.9,12.32258065,12.96428571,12.15517241,13.88333333,16.22580645,23.28333333,24.96774194,24.56896552,24.5,23.6,19.5,32.54,33.33928571,35.10344828,35.25,35.59677419,37.33333333,37.0,35.17241379,35.0,34.1,34.2
